FILENAME,TEXT_SIZE,ALL_NOUNS_IN_ALL_WORDS,PRONOUNS_IN_ALL_WORDS,PROPER_NOUNS_IN_ALL_WORDS,REGULAR_NOUNS_IN_ALL_NOUNS,PROPER_NOUNS_IN_ALL_NOUNS
austen_emma,165552,0.1298081569537064,0.09923166135111626,0.05374746303276312,0.7071870475187574,0.1298081569537064
testing,103,0.14563106796116504,0.04854368932038835,0.1650485436893204,0.46875,0.14563106796116504
sample,114,0.17543859649122806,0.08771929824561403,0.06140350877192982,0.7407407407407407,0.17543859649122806
c_testing,46,0.13043478260869565,0.021739130434782608,0.21739130434782608,0.375,0.13043478260869565
given,48,0.22916666666666666,0.020833333333333332,0.08333333333333333,0.7333333333333333,0.22916666666666666
long_name_multi,28,0.14285714285714285,0.0,0.4642857142857143,0.23529411764705882,0.14285714285714285
test_dialogue,112,0.10714285714285714,0.11607142857142858,0.03571428571428571,0.75,0.10714285714285714
verne_20_test_short,1028,0.16342412451361868,0.10408560311284047,0.04182879377431906,0.7962085308056872,0.16342412451361868
verne_20_test_long,3435,0.17933042212518194,0.0826783114992722,0.038136826783114995,0.8246318607764391,0.17933042212518194
simple_paragraph,85,0.15294117647058825,0.09411764705882353,0.023529411764705882,0.8666666666666667,0.15294117647058825
austen_pride_and_prejudice,125974,0.14239446234937367,0.09435280295934081,0.04994681442202359,0.740321914981428,0.14239446234937367
barrie_peter_pan,50786,0.1363761666601032,0.10404442169101721,0.043200882132871266,0.7594298245614035,0.1363761666601032
bronte_jane_eyre,199947,0.15710663325781332,0.10619314118241334,0.030493080666376588,0.8374566782191416,0.15710663325781332
baum_the_wonderful_wizard_of_oz,41985,0.12297249017506252,0.09250922948672145,0.05694891032511611,0.6834789515488483,0.12297249017506252
burnett_a_little_princess,72006,0.13479432269533095,0.10664389078687887,0.040371635697025246,0.7695235074922698,0.13479432269533095
burnett_secret_garden,89631,0.12898439156095548,0.1128738940768261,0.039729557853867524,0.7645152757571749,0.12898439156095548
burroughs_a_princess_of_mars,68220,0.18145705071826443,0.08255643506303137,0.0312078569334506,0.8532533774469259,0.18145705071826443
